가구주연령대,비주거용 건물 내 주택,오피스텔,기타,아파트,연립주택,단독다가구
20,23576,83900,28048,68512,6197,302746
30,15097,81056,20966,263919,12503,321292
40,11464,32587,14080,397057,17420,285597
50,14139,18691,15393,415620,24340,365550
60,12279,9272,12166,351641,24387,329758
70,6686,3453,4346,188984,14433,190425
80,480,223,236,13105,997,14145
