행정구역,비주거용 건물 내 주택,오피스텔,기타,아파트,연립주택,단독다가구
11010,1757,5469,3149,14672,4923,35070
11020,1735,6085,3463,25264,1712,21089
11030,1217,5737,2613,35029,3345,49890
11040,3017,6586,1859,63688,1815,44358
11050,4918,8182,4549,33122,3799,106845
11060,4539,13886,5017,66502,3011,68192
11070,3913,4165,3209,55976,3989,95163
11080,4195,2496,6116,78259,5582,82557
11090,1975,2267,2747,33163,4362,80669
11100,1291,4469,1632,59616,3746,51208
11110,1768,2456,1739,151851,3256,33853
11120,2690,8694,3953,66397,4999,102903
11130,2914,6592,2974,55370,4857,64313
11140,3211,16101,2558,71349,2619,69184
11150,1480,5786,1957,87303,3506,63858
11160,2177,31575,6138,108890,4284,94842
11170,2166,15618,6797,80615,6728,69090
11180,1838,14791,4766,31292,3604,61336
11190,3691,30754,6015,74821,1445,64279
11200,4149,2717,4817,63464,4667,92067
11210,15647,17139,13808,53979,5795,156801
11220,2727,8060,2724,87554,4573,47180
11230,3788,13205,3915,126841,4725,60176
11240,4331,17399,3800,127729,4307,102113
11250,3375,8332,2701,90670,2994,76839
