가구주연령대,비주거용 건물 내 주택,오피스텔,기타,아파트,연립주택,단독다가구
20,25373,94586,32646,70715,6358,310648
30,15520,94185,21697,254142,12236,324683
40,10496,34994,14146,391385,16005,263297
50,13170,20488,15692,425256,22901,344688
60,12670,10135,13581,374035,24898,340455
70,6753,3935,4969,213416,15149,195197
80,527,238,285,14467,1096,14907
