행정구역,비주거용 건물 내 주택,오피스텔,기타,아파트,연립주택,단독다가구
11010,1805,4380,3068,14488,4911,35530
11020,1741,5046,3188,24178,1702,21174
11030,1268,5440,2465,34511,3411,50683
11040,3123,5533,1994,64312,1851,45288
11050,4909,7016,3956,31070,3824,106604
11060,4396,11222,4250,62707,3023,68579
11070,3909,3155,2889,53415,4099,96069
11080,4322,2249,5116,76413,5604,83589
11090,2074,1607,2406,32283,4405,82696
11100,1389,3719,1479,60413,3835,52092
11110,1855,2356,1629,152045,3226,34572
11120,2669,7775,3800,60869,5369,106501
11130,2897,5568,2939,52035,4875,64562
11140,3180,14790,3249,69147,2797,69701
11150,1530,5629,1907,87072,3604,64439
11160,2171,28530,5706,107917,4276,95594
11170,2115,13744,6899,78530,6671,69723
11180,1855,11955,4434,31264,3658,61287
11190,3789,27099,5773,73241,1379,65199
11200,3695,2518,4032,62152,4838,91894
11210,14181,15823,11747,52926,5926,153336
11220,2880,7509,2540,86870,4665,48176
11230,4091,12661,3824,118432,4947,62705
11240,4611,16289,3381,123926,4405,102287
11250,3266,7569,2564,88622,2976,77233
