,구,거래건수,위도,경도
0,강서구,8315,37.554552,126.871764
1,강서구,8315,37.550968,126.849614
2,강서구,8315,37.550968,126.849614
3,강서구,8315,37.550968,126.849614
4,강서구,8315,37.550968,126.849614
5,강서구,8315,37.550968,126.849614
6,강서구,8315,37.550968,126.849614
7,강서구,8315,37.550968,126.849614
8,강서구,8315,37.544092,126.847626
9,강서구,8315,37.550968,126.849614
10,강서구,8315,37.550968,126.849614
11,강서구,8315,37.550968,126.849614
12,강서구,8315,37.550968,126.849614
13,강서구,8315,37.550968,126.849614
14,강서구,8315,37.550968,126.849614
15,강서구,8315,37.548198,126.841792
16,강서구,8315,37.554779,126.810453
17,강서구,8315,37.550968,126.849614
18,강서구,8315,37.550968,126.849614
19,강서구,8315,37.550968,126.849614
20,강서구,8315,37.551366,126.8713
21,강서구,8315,37.551325,126.858411
22,강서구,8315,37.538358,126.847336
23,강서구,8315,37.568238,126.845059
24,강서구,8315,37.566092,126.830395
25,강서구,8315,37.552616,126.83573
26,강서구,8315,37.546721,126.821871
27,강서구,8315,37.558805,126.813297
28,강서구,8315,37.569138,126.812192
29,강서구,8315,37.582069,126.801198
30,강서구,8315,37.560661,126.794953
31,강서구,8315,37.554615,126.775768
32,강서구,8315,37.541148,126.796575
33,영등포구,8055,37.514692,126.909387
34,영등포구,8055,37.513786,126.906901
35,영등포구,8055,37.517598,126.934571
36,영등포구,8055,37.52641,126.896252
37,영등포구,8055,37.52641,126.896252
38,영등포구,8055,37.509105,126.900533
39,영등포구,8055,37.517141,126.899454
40,영등포구,8055,37.52641,126.896252
41,영등포구,8055,37.52641,126.896252
42,영등포구,8055,37.52641,126.896252
43,영등포구,8055,37.52641,126.896252
44,영등포구,8055,37.52641,126.896252
45,영등포구,8055,37.52641,126.896252
46,영등포구,8055,37.52641,126.896252
47,영등포구,8055,37.52641,126.896252
48,영등포구,8055,37.52641,126.896252
49,영등포구,8055,37.52641,126.896252
50,영등포구,8055,37.52641,126.896252
51,영등포구,8055,37.513448,126.907724
52,영등포구,8055,37.51771,126.913057
53,영등포구,8055,37.520839,126.910094
54,영등포구,8055,37.518155,126.907998
55,영등포구,8055,37.517981,126.903506
56,영등포구,8055,37.521133,126.907084
57,영등포구,8055,37.521556,126.90309
58,영등포구,8055,37.524619,126.90667
59,영등포구,8055,37.527015,126.905253
60,영등포구,8055,37.524371,126.925958
61,영등포구,8055,37.522336,126.898748
62,영등포구,8055,37.522967,126.892688
63,영등포구,8055,37.525551,126.896668
64,영등포구,8055,37.528887,126.898848
65,영등포구,8055,37.532856,126.899187
66,영등포구,8055,37.534373,126.903445
67,영등포구,8055,37.528625,126.907439
68,영등포구,8055,37.509277,126.902494
69,영등포구,8055,37.512364,126.897201
70,영등포구,8055,37.51329,126.893779
71,영등포구,8055,37.516929,126.897249
72,영등포구,8055,37.515082,126.890475
73,영등포구,8055,37.515863,126.885676
74,영등포구,8055,37.519342,126.886528
75,영등포구,8055,37.523571,126.888814
76,영등포구,8055,37.52427,126.884578
77,영등포구,8055,37.528148,126.889731
78,영등포구,8055,37.537079,126.89626
